,Band,Song,Player,Technique,Difficulty,Score
2438,KISS,I Want You,,['Overdriven Guitar'],Beginner,2/8
2439,Mr. Big,Still Ain't Enough For Me,,"['Overdriven Guitar', 'Bass (Billy Sheehan)']",Intermediate,4/8
2440,Kane,My Best Wasn't Good Enough,,"['Acoustic Guitar (steel)', 'Bass']",Intermediate,3/8
2441,Avalanch,Pelayo,,['Electric Guitar (clean)'],Beginner,1/8
2442,Black Rebel Motorcycle Club,Let The Day Begin,,"['Electric Guitar (jazz)', 'bass ']",Beginner,2/8
2443,Circa Survive,Always Getting What You Want,,['Distortion Guitar 6'],Intermediate,3/8
2444,Firehouse,Don't Treat Me Bad,,['Overdriven Guitar 2'],Beginner,1/8
2445,Mae,Anything,,['Acoustic Guitar (steel) 5'],Beginner,1/8
2446,Reuben,Freddy Kreuger,,"['Distortion Guitar', 'Bass with distortion']",Intermediate,3/8
2447,Propagandhi,Failed States,,"['Distortion Guitar', 'Electric Bass']",Intermediate,4/8
2448,Motorhead,Don't Need Religion,Track 2,['Distortion Guitar'],Beginner,1/8
2449,Motorhead,Devil I Know,,"['Distortion Guitar', 'Bass Gtr 1']",Beginner,1/8
2450,Motorhead,Ramones,Lemmy,['Distortion Guitar'],Beginner,2/8
2451,Motorhead,Kingdom Of The Worm,Lemmy,['Overdriven Guitar'],Beginner,2/8
2452,Motorhead,Shoot You In The Back,,"['Distortion Guitar', 'Bass']",Beginner,1/8
2453,Motorhead,Bite The Bullet,,"['Distortion Guitar', 'Bass']",Intermediate,3/8
2454,Motorhead,Dead And Gone,Lemmy,['Overdriven Guitar'],Beginner,1/8
2455,Motorhead,Claw,Track 2,['Distortion Guitar'],Intermediate,3/8
2456,Yngwie Malmsteen,I Am A Viking With Bass/Rhytm,,"['Overdriven Guitar', 'Bass']",Intermediate,5/8
2457,Freedom Call,High Enough,,"['Ilker Erstin', 'Acoustic Guitar (steel)', 'Bass']",Intermediate,4/8
2458,Freedom Call,Metal Invasion,,"['Ilker Erstin', 'Acoustic Guitar (steel)', 'Bass']",Intermediate,4/8
2459,Gamma Ray,Heavy Metal Universe (Live),,"['Dirk Schlächter', 'Acoustic Guitar (steel)', 'Bass']",Beginner,1/8
2460,Gamma Ray,One With The World,,"['Dirk Schlächter', 'Acoustic Guitar (steel)', 'Bass']",Intermediate,3/8
2461,Slayer,D.D.A.M.M.,Tom Araya,['Distortion Guitar'],Beginner,1/8
2462,Slayer,Desintegration - Free Money,Tom Araya,['Distortion Guitar'],Intermediate,5/8
2463,Slayer,Verbal Abuse - Leeches,Tom Araya,['Distortion Guitar'],Intermediate,5/8
2464,Black Label Society,We Live No More,,"['Acoustic Guitar (nylon)', 'Bass']",Beginner,1/8
2465,Extreme,Comfortably Dumb, [octaver sound,['Overdriven Guitar'],Intermediate,5/8
2466,In Arkadia,Somber Light,,"['Acoustic Guitar (nylon)', 'basse']",Intermediate,3/8
2467,Misfits,Runaway,Jerry Only,['Overdriven Guitar'],Beginner,1/8
2468,Old Man's Child,My Kingdom Will Come,,"['Acoustic Guitar (nylon)', 'Bass']",Beginner,2/8
2469,S.O.D.,Shenanigans,,"['Overdriven Guitar', 'Bass']",Intermediate,3/8
2470,Misfits,I Wanna Be A Ny Ranger,,"['Overdriven Guitar', 'Bass Distortion']",Beginner,2/8
2471,Mayhem,Freezing Moon (Blasphemer's Solo),Necrobutcher,['Distortion Guitar'],Beginner,1/8
2472,Animetal,Himitsu Sentai Goranger,,"['Acoustic Guitar (nylon)', 'Bass (Masaki)']",Intermediate,3/8
2473,Animetal,Animetal No Theme II (Ryuuketsu No Sanbika),,"['Acoustic Guitar (nylon)', 'Bass (Masaki)']",Intermediate,3/8
2474,Animetal,Shouri Da! Akumaizer 3,,"['Acoustic Guitar (nylon)', 'Bass (Masaki)']",Intermediate,3/8
2475,Ministry,Lava,,"['Distortion Guitar', '(bass fx)']",Beginner,2/8
2476,Misfits,Abominable Dr. Phibes,Jerry Only,['Distortion Guitar'],Intermediate,3/8
2477,Misfits,Hunting Humans,,"['Distortion Guitar', 'Bass Distortion']",Intermediate,3/8
2478,Animetal,Tatakae ! Denjin Zaborger,,"['Acoustic Guitar (nylon)', 'Bass+ (optional)']",Intermediate,3/8
2479,Reuben,Agony Agatha,,"['Distortion Guitar', 'Bass OD']",Intermediate,3/8
2480,Warmachine,What A Pretty Picture,,"['Electric Guitar (clean)', 'Bass']",Intermediate,3/8
2481,Green Mind,Condemned,Track 2,['Electric Guitar (jazz)'],Intermediate,3/8
2482,Green Mind,Cognitive Dissonance,Track 2,['Electric Guitar (jazz)'],Intermediate,3/8
2483,Burzum,Keliohesten,,"['Electric Guitar (clean)', 'Bass']",Beginner,1/8
2484,S.O.S.,Novo Ciclo (Introdução E 1ª Parte),Gonçalo,['Acoustic Guitar (steel)'],Intermediate,3/8
2485,Motorhead,King Of Kings,Track 4,['Distortion Guitar'],Beginner,1/8
2486,Relient K,Who I Am Hates Who I've Been,,"['Acoustic Guitar (nylon)', 'Bass']",Beginner,1/8
2487,Dark Tranquillity,The Mind's Eye,,"['Acoustic Guitar (nylon)', 'BackGuitar']",Beginner,1/8
2488,Nightmare,Wasurena Kusa Budokan Version,Ni~Ya,['Distortion Guitar'],Beginner,2/8
2489,Motorhead,I Don't Believe A Word,,"['Overdriven Guitar', 'Bass']",Beginner,1/8
2490,Motorhead,Hellraiser,Lemmy (God),['Overdriven Guitar'],Beginner,1/8
2491,Protest The Hero,Led Astray,,"['Acoustic Guitar (nylon)', 'Bass (Arif)']",Intermediate,3/8
2492,Calum Rob,ace of diamonds,,"['Overdriven Guitar', 'Bass']",Intermediate,3/8
2493,St. Vincent,Now Now,,"['Overdriven Guitar', 'Bass']",Beginner,2/8
2494,Brand New,Untitled 05,,"['Overdriven Guitar', 'Bass Effect']",Intermediate,3/8
2495,Cold Cast,Country Roads,,"['Acoustic Guitar (steel)', 'Bass']",Intermediate,3/8
2496,Metallica,One (S&M),,"['Acoustic Guitar (nylon)', 'Bass']",Intermediate,3/8
2497,Stone Sour,Hesitate,Shawn Economaki,['Acoustic Guitar (steel)'],Beginner,1/8
2498,Misfits,Don't Open 'till Doomsday,,"['Distortion Guitar', 'bass distortion']",Beginner,2/8
2499,Metallica,Orion (Eb Tuning),,"['Distortion Guitar', 'Bass Distortion Effect II']",Intermediate,3/8
2500,9kt,12,fx bajo distorsion,['Distortion Guitar'],Intermediate,4/8
2501,Motorhead,Rock Out,Lemmy,['Distortion Guitar'],Beginner,2/8
2502,Motorhead,You Better Run Live Bass Intro,Overdrive Effect,['Overdriven Guitar'],Intermediate,3/8
2503,Rage Against The Machine,Bulls On Parade,Tim Commerford (Distortion Effect),['Distortion Guitar'],Beginner,2/8
2504,Gummy,Cheia de reverb,GROOVY,['Overdriven Guitar'],Intermediate,5/8
2505,Withering Remains,ough,Rhythm 2,['Distortion Guitar'],Intermediate,3/8
2506,Metallica,Metalgrock - Orion,,"['Distortion Guitar', 'Kirk (Lead Guitar)']",Intermediate,5/8
2507,Thulio Muniz,Unfamiliar Ceiling,,"['Electric Guitar (clean)', 'Electric Bass']",Intermediate,3/8
2508,Motorhead,Ace Of Spades,Disortion Effect,['Distortion Guitar'],Beginner,2/8
2509,Megadeth,Train Of Consequences Intro Rude Awakening,,"['Acoustic Guitar (steel)', 'Bass']",Intermediate,3/8
2510,Metallica,Cure (Bass Only),Jason Newsted,['Acoustic Guitar (steel)'],Beginner,1/8
2511,Liam Arellano (Quixöte),prueba de solo de bajo,Pista 3,['Distortion Guitar'],Intermediate,5/8
2512,Cliff Burton,Cliff Burton 1982 Trauma Solo (First Part),Track 1,['Overdriven Guitar'],Advanced,8/8
2513,Slaver,Creeping liar,Bass dist,['Distortion Guitar'],Intermediate,4/8
2514,Slaver (Test),Creeping liar,,"['Distortion Guitar', 'Bass dist']",Intermediate,4/8
2515,Slaver,Raise of Empire,,"['Distortion Guitar', 'Bass dist']",Intermediate,3/8
2516,Venom,Witching Hour,,"['Overdriven Guitar', 'Bass']",Intermediate,4/8
2517,Mayhem,Witching Hour (Venom cover),,"['Overdriven Guitar', 'Bass']",Intermediate,4/8
2518,Quixöte,Vórtice,Liam A. (Bajo con distorsión),['Distortion Guitar'],Intermediate,3/8
2519,Liam Arellano,Mago,Pista 5,['Distortion Guitar'],Intermediate,3/8
2520,Slaver,Dires Stairs,,"['Overdriven Guitar', 'Bass Drive']",Intermediate,3/8
2521,U2,New Years Day V4,Adam Clayton,['Overdriven Guitar'],Intermediate,3/8
2522,Morbid Angel,Nevermore,,"['Overdriven Guitar', 'Bass']",Intermediate,3/8
2523,Misfits,Scarecrow Man,,"['Distortion Guitar', 'Bass Distortion']",Intermediate,3/8
2524,Misfits,From Hell They Came,,"['Distortion Guitar', 'Bass Distortion']",Intermediate,3/8
2525,Misfits,Dead Kings Rise,Jerry Only ,['Overdriven Guitar'],Intermediate,3/8
2526,Buckethead,Puddles,,"['Acoustic Guitar (steel)', 'Bass']",Intermediate,3/8
2527,Misfits,Dr Phibes Rises Again,Jerry Only,['Overdriven Guitar 2'],Intermediate,3/8
2528,Slaver,Azordus,,"['Distortion Guitar', 'Bass Dist(fingers)']",Intermediate,3/8
2529,Weezer,Tired Of Sex,Matt Sharp,"['Bass Effects', 'Distortion Guitar']",Intermediate,3/8
2530,Misfits,Crawling Eye,Jerry Only,['Distortion Guitar'],Intermediate,3/8
2531,Kirisute,Settle For Death,Track 6,['Distortion Guitar'],Intermediate,3/8
2532,Misfits,The Haunting,Jerry Only Distortion,['Distortion Guitar'],Intermediate,3/8
2533,Misfits,Speak Of The Devil,Jerry Only,['Distortion Guitar'],Intermediate,3/8
2534,Misfits,Fiend Club,,"['Distortion Guitar', 'Bass Distortion']",Intermediate,3/8
2535,Misfits,Saturday Night,Jerry Only,['Distortion Guitar'],Intermediate,3/8
2536,Misfits,Lost In Space,Jerry Only,['Overdriven Guitar'],Intermediate,4/8
2537,Misfits,Witch Hunt,Jerry Only,['Distortion Guitar'],Intermediate,3/8
2538,Misfits,The Hunger,Jerry Only,['Overdriven Guitar'],Intermediate,3/8
2539,Misfits,Crimson Ghost,Jerry Only,['Distortion Guitar'],Beginner,2/8
2540,Misfits,Day Of The Dead,,"['Distortion Guitar', 'Bass Distortion']",Intermediate,3/8
2541,The Misfits,Dr Phibes Rises Again,Jerry Only,['Overdriven Guitar 2'],Intermediate,3/8
2542,Motorhead,We Are The Road Crew,Lemmy Kilmister (Distortion),['Overdriven Guitar'],Beginner,2/8
2543,Slaver,Picnic River Str.,,"['Acoustic Guitar (nylon)', 'Bass']",Beginner,2/8
2544,JAD,In Amber Clad,Phiphi,['Overdriven Guitar'],Intermediate,3/8
2545,Led Zeppelin,Friends,,['Acoustic Guitar (steel)'],Intermediate,3/8
2546,Nihil,Lies Within,,"['Overdriven Guitar', 'Guitare disto']",Intermediate,3/8
2547,The Rolling Stones,You Gotta Move,,"['Acoustic Guitar (steel)', 'Open C Slide Guitar']",Beginner,2/8
2548,Slippy,So What,,['Electric Guitar (clean)'],Intermediate,3/8
2549,Tragically Hip,Ahead By A Century,Track 1,['Acoustic Guitar (steel)'],Beginner,2/8
2550,3 Doors Down,Citizen Soldier,Matt (Clean),['Electric Guitar (jazz)'],Intermediate,4/8
2551,Naked Ear,Retzhof,Git. 1,['Acoustic Guitar (nylon)'],Intermediate,4/8
2552,Luka Bloom,First Light Of Spring,Spur 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
2553,Beck,Side Of The Road,,"['Acoustic Guitar (nylon)', 'Guitar 1']",Intermediate,3/8
2554,3 Doors Down,Train,Track 1,['Overdriven Guitar'],Intermediate,3/8
2555,Fozzy,Enemy,Traccia 3,['Distortion Guitar'],Intermediate,3/8
2556,John Butler Trio,Daniella,,['Acoustic Guitar (steel)'],Intermediate,5/8
2557,John Butler Trio,What You Want,,"['Overdriven Guitar', 'john butler ampliefied 11 string guitare']",Beginner,2/8
2558,John Butler Trio,Sista,John Butler,['Acoustic Guitar (steel)'],Beginner,1/8
2559,John Butler Trio,Funky Tonight,Piste 1,['Acoustic Guitar (steel)'],Intermediate,4/8
2560,Speedy Recovery,I Need Your Clothes Shoes And Motorcycle,,"['Distortion Guitar', 'Rhythm guitar']",Intermediate,3/8
2561,Used To Be,X,Johnny 2,['Distortion Guitar'],Intermediate,3/8
2562,Drew,Jaming Session,Track 1,['Distortion Guitar'],Advanced,8/8
2563,I'll Mazdo,As I Lay In The Mazdo Playing Riosk With Hayley Williams,Track 2,['Distortion Guitar'],Intermediate,4/8
2564,The Omeads,Faking The Victim,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
2565,Crack Head Soloers,Holo Cholo,Track 2,['Acoustic Guitar (steel)'],Intermediate,3/8
2566,Crack Head Soloers,How Do You Know Me?!?♫,IAn,['Distortion Guitar'],Intermediate,3/8
2567,Crack Head Soloers,Dodo Bird,Track 1,['Distortion Guitar'],Intermediate,4/8
2568,A Peaceful Resistance,A Piece Of Mind,,"['Distortion Guitar', 'Rythm guitar']",Intermediate,4/8
2569,John Butler Trio,Seeing Angels (Intro),,['Acoustic Guitar (steel) 2'],Intermediate,3/8
2570,John Butler Trio,Ocean Live,,"['Acoustic Guitar (steel)', 'Guitare']",Intermediate,5/8
2571,Dougie Maclean,Ye Banks And Braes,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
2572,Amplifier,Strange Seas Of Thoughts,Stopa 1,['Overdriven Guitar'],Intermediate,3/8
2573,Bruce Cockburn,Foxglove,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
2574,John Butler Trio,Home Is Where The Heart Is,,"['Acoustic Guitar (steel)', '12 string guuitar']",Intermediate,3/8
2575,John Butler Trio,Pickapart,Acoustic 12,['Acoustic Guitar (steel)'],Intermediate,4/8
2576,John Butler,Ocean,Track 1,['Acoustic Guitar (steel)'],Intermediate,5/8
2577,John Fahey,Requiem For John Hurt,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
2578,Laurence Juber,Feet On My Back Again,Traccia 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
2579,Triad,Selir Hati,Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
2580,Mumford And Sons,Roll Away Your Stone,Marcus,['Acoustic Guitar (steel)'],Beginner,2/8
2581,Javez,Death Metal Song,Track 1,['Distortion Guitar'],Intermediate,3/8
2582,Rik Emmett,Buggy Ride,Rik Emmett,['Acoustic Guitar (nylon)'],Intermediate,5/8
2583,Taylor Swift,Dark Blue Tennessee,,['Acoustic Guitar (steel)'],Intermediate,3/8
2584,The Rock,Selir Hati,Track 5,['Acoustic Guitar (steel)'],Intermediate,3/8
2585,Ewan Dobson,Time 2,Spår 1,['Acoustic Guitar (steel)'],Intermediate,4/8
2586,Whitesnake,Ain't Gonna Cry No More,,"['Acoustic Guitar (steel)', 'Guitarra']",Beginner,2/8
2587,Ewan Dobson,Donkey Kong Expansion Pack,Track 1,['Acoustic Guitar (steel)'],Intermediate,5/8
2588,Ewan Dobson,Time 2.1,Track 1,['Acoustic Guitar (nylon)'],Intermediate,4/8
2589,Kings Of Leon,Use Somebody (Fingerstyle),,['Acoustic Guitar (steel)'],Beginner,2/8
2590,Xtremghost,Les Choristes Metal,Piste 4,['Overdriven Guitar'],Intermediate,3/8
2591,Buried Beneath These Corpse,Cancion 2,Pista 1,['Distortion Guitar'],Intermediate,3/8
2592,Buried Beneath These Corpse,Cancion 3,Pista 1,['Distortion Guitar'],Intermediate,3/8
2593,Buried Beneath These Corpse,Cancion 4,Pista 1,['Distortion Guitar'],Intermediate,5/8
2594,Devin Townsend,Terminal,,"['Electric Guitar (jazz)', 'Guitar 2']",Beginner,1/8
2595,Cinema Bizarre,The Silent Place (Ver.1),Yu,['Overdriven Guitar'],Intermediate,3/8
2596,Van Halen,Stay Frosty,,['Acoustic Guitar (steel)'],Intermediate,3/8
2597,Ewan Dobson,Happy Hardcore,Track 1,['Acoustic Guitar (steel)'],Intermediate,5/8
2598,Ewan Dobson,Blood And Ice,Track 1,['Acoustic Guitar (steel)'],Advanced,6/8
2599,Ewan Dobson,Machinery,Track 1,['Acoustic Guitar (steel)'],Intermediate,4/8
2600,All Black & White,Burning Bridge (Unofficial),Rodney,['Acoustic Guitar (nylon)'],Intermediate,3/8
2601,Unknown,Plectrus,Track 1,['Acoustic Guitar (steel)'],Intermediate,5/8
2602,Piotr Restecki,Acustic,Utwór 1,['Acoustic Guitar (steel)'],Intermediate,5/8
2603,Mollen,Bidabu,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
2604,Dassindamon,Duh,Track 1,['Distortion Guitar'],Intermediate,3/8
2605,Billy The Kid,Chocolate Sexual,Pista 2,['Overdriven Guitar'],Intermediate,3/8
2606,Test,Acoustic Track,Track 2,['Distortion Guitar'],Advanced,6/8
2607,Devin Townsend,Hyperdrive (Acoustic),,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
2608,Devin Townsend,Stagnant Solo,,"['riff', 'Overdriven Guitar', 'Guitar']",Intermediate,3/8
2609,Devin Townsend Project,Divine,,"['Electric Guitar (muted)', 'Guitar 1']",Beginner,1/8
2610,Devin Townsend,Deamon League,Devin Townsend,['Electric Guitar (clean)'],Intermediate,3/8
2611,Devin Townsend Project,Ki,Devin Townsend,['Acoustic Guitar (steel)'],Intermediate,3/8
2612,Devin Townsend Project,Feather,,"['Acoustic Guitar (steel)', 'Guitar 1']",Beginner,2/8
2613,Devin Townsend,Funeral,,"['Distortion Guitar', 'Guitar 1']",Beginner,1/8
2614,John Butler Trio,Ocean (Max Sessions),,['Acoustic Guitar (steel)'],Intermediate,4/8
2615,Sexist,Balada O Péru,Kytara Tom,['Overdriven Guitar'],Intermediate,3/8
2616,John Butler Trio,Betterman,,['Acoustic Guitar (steel)'],Beginner,2/8
2617,Peter Gergely,Shake It Off,,['Acoustic Guitar (steel)'],Intermediate,4/8
2618,Devin Townsend,Sunday Afternoon,,"['Overdriven Guitar', 'Guitar 1']",Intermediate,3/8
2619,Devin Townsend Project,Universal Flame,The Dev,['Distortion Guitar'],Beginner,2/8
2620,Devin Townsend,Deathray,The Dev,['Distortion Guitar'],Intermediate,3/8
2621,Devin Townsend,War Princess,,"['Distortion Guitar', 'Dist Guitar']",Intermediate,4/8
2622,Agjaksdgn,Asdgkjhna,Track 1,['Acoustic Guitar (steel)'],Intermediate,5/8
2623,Hms,Untitled/Unfinished Song,Track 2,['Distortion Guitar'],Advanced,7/8
2624,John Butler Trio,Ocean (2012),,"['Acoustic Guitar (steel)', '11 string guitar']",Intermediate,5/8
2625,Devin Townsend,Truth,Jed Simon,['Distortion Guitar'],Beginner,2/8
2626,Strapping Young Lad,Polyphony,Jed,['Overdriven Guitar'],Beginner,2/8
2627,Strapping Young Lad,Love,Lead Fills,['Distortion Guitar'],Beginner,2/8
2628,Wilco,I'm The Man Who Loves You,Gtr. 1,['Overdriven Guitar'],Intermediate,3/8
2629,Devin Townsend,Life,,"['Distortion Guitar', 'Devin Townsend (Second Guitar)']",Beginner,2/8
2630,Rob Scallon,A False Closeness,,['Electric Guitar (clean)'],Intermediate,3/8
2631,Hms,Dreams,Track 3,['Distortion Guitar'],Intermediate,4/8
2632,The White Stripes,Seven Nation Army (Acoustic),,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
2633,Jack Johnson,I Got You,Acoustic Gtr (Steel Strings) Open C Tuni,['Acoustic Guitar (steel)'],Beginner,2/8
2634,Devin Townsend,Feather,,"['Acoustic Guitar (steel)', 'Guitar 1']",Beginner,2/8
2635,Devin Townsend,Processional,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
2636,Devin Townsend,Pixillate,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
2637,Devin Townsend,Mental Tan,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
2638,Devin Townsend,Ants,Dev,['Distortion Guitar'],Intermediate,5/8
2639,Devin Townsend,Noisy Pink Bubbles,,"['Acoustic Guitar (steel)', 'Guitar 2']",Intermediate,3/8
2640,Devin Townsend,Ih-Ah,,['Electric Guitar (clean) 1'],Beginner,2/8
2641,Devin Townsend,The Fluke,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
2642,Devin Townsend,Divine,,"['Electric Guitar (muted)', 'Guitar 1']",Intermediate,3/8
2643,Devin Townsend,Synchronicity Freaks,,"['Electric Guitar (muted)', 'Guitar 2']",Beginner,1/8
2644,Devin Townsend,Mountain,,"['Overdriven Guitar', 'Guitar 1']",Intermediate,3/8
2645,Devin Townsend,Tiny Tears,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
2646,Devin Townsend,Sit In The Mountain,Delay and solo,['Distortion Guitar'],Intermediate,3/8
2647,Devin Townsend,Where We Belong,Upper octave,['Acoustic Guitar (steel)'],Beginner,1/8
2648,Elvis Presley,Doncha Think It's Time,Electric Gtr. (Clean Tone  w/Chorus),['Electric Guitar (clean)'],Intermediate,3/8
2649,Devin Townsend,Hyperdrive (Ver. 4),,"['Distortion Guitar', 'Guitar One']",Intermediate,3/8
2650,Cradle Of Filth,Babylon Ad So Glad For The Madness,,['Distortion Guitar 2'],Intermediate,3/8
2651,Matt Mackay,Layers,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
2652,Matt,Layers,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
2653,Achim Reinders,Tanzken,,"['Acoustic Guitar (nylon)', 'Classical Guitar']",Intermediate,4/8
2654,Bad Company,If You Need Somebody,,"['Acoustic Guitar (steel) 1', 'Acoustic Guitar (Steel) Tuning (CGCGCE)']",Beginner,1/8
2655,Dragonland,The Returning,Pista 4,['Distortion Guitar'],Intermediate,4/8
2656,Creedence Clearwater Revival,Midnight Special,,"['Electric Guitar (clean)', 'Electric Guitar (Clean) 2            ']",Beginner,1/8
2657,Devin Townsend Project,Lady Helen,,"['Electric Guitar (jazz)', 'Lead Guitar']",Intermediate,3/8
2658,Devin Townsend Project,Deathray,,"['Overdriven Guitar', 'Guitar 2']",Beginner,2/8
2659,Intervals,Begin,,"['Electric Guitar (clean)', 'Piano']",Beginner,1/8
2660,Strapping Young Lad,Force Fed,Jed Simon,['Distortion Guitar'],Intermediate,3/8
2661,Nazareth,Woke Up This Morning,,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
2662,Peter Frampton,Somethins Happening,,['Distortion Guitar 4'],Beginner,2/8
2663,Wings,Picassos Last Words,,['Acoustic Guitar (steel) 2'],Intermediate,3/8
2664,Godsmack,I Fucking Hate You,Track 1,['Distortion Guitar'],Intermediate,3/8
2665,Disturbed,Sickened,,"['Distortion Guitar', 'Lead Guitar']",Beginner,1/8
2666,Cradle Of Filth,Babalon A.D. (So Glad For The Madness),,['Distortion Guitar 2'],Intermediate,3/8
2667,Devin Townsend,The Greys,Pista 5,['Overdriven Guitar'],Beginner,2/8
2668,Ektomorf,Show Your Fist,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
2669,Escape The Fate,Cellar Door,Monte Money,['Distortion Guitar'],Beginner,1/8
2670,Heaven Shall Burn,Stay The Course,Raita 3,['Distortion Guitar'],Beginner,2/8
2671,Linea 77,Liquid Subdual,,"['Distortion Guitar', 'Guitarra 2']",Intermediate,3/8
2672,Soulfly,I And I,Gitarre 2,['Overdriven Guitar'],Intermediate,4/8
2673,Strapping Young Lad,Imperial,Jed Simon,['Overdriven Guitar'],Intermediate,3/8
2674,Union Square,Deceit,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
2675,Zimmers Hole,Fista Corpse,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
2676,Chimaira,The Venom Inside,Track 1,['Acoustic Guitar (nylon)'],Beginner,1/8
2677,Devin Townsend,Coast,Track 1,['Acoustic Guitar (steel)'],Intermediate,4/8
